FK_DateID;FK_Product;FK_Customer;DD_OrderID;ShipMode;total_cost;items_number
384;7657;1270;CA-2015-100006;Standard Class;377.97;1
278;1696;1474;CA-2015-100090;Standard Class;699.19;2
278;3194;1474;CA-2015-100090;Standard Class;699.19;2
73;4794;3397;CA-2015-100293;Standard Class;91.05;1
25;2915;2081;CA-2015-100328;Standard Class;3.92;1
122;4293;2376;CA-2015-100363;Standard Class;21.37;2
122;5770;2376;CA-2015-100363;Standard Class;21.37;2
197;5082;687;CA-2015-100391;Standard Class;14.62;1
131;456;2658;CA-2015-100678;Standard Class;697.07;4
131;4056;2658;CA-2015-100678;Standard Class;697.07;4
131;6644;2658;CA-2015-100678;Standard Class;697.07;4
131;2412;2658;CA-2015-100678;Standard Class;697.07;4
655;1084;2788;CA-2015-100706;Second Class;129.44;2
655;6735;2788;CA-2015-100706;Second Class;129.44;2
591;5667;3407;CA-2015-100762;Standard Class;508.62;4
591;4671;3407;CA-2015-100762;Standard Class;508.62;4
591;2209;3407;CA-2015-100762;Standard Class;508.62;4
591;5186;3407;CA-2015-100762;Standard Class;508.62;4
93;4566;1058;CA-2015-100860;Second Class;18.75;1
500;8066;1575;CA-2015-100867;Standard Class;321.55;1
95;7857;1408;CA-2015-100881;Standard Class;302.37;1
212;6063;4396;CA-2015-100895;Standard Class;605.47;3
212;7518;4396;CA-2015-100895;Standard Class;605.47;3
212;2762;4396;CA-2015-100895;Standard Class;605.47;3
505;2289;1706;CA-2015-100916;Standard Class;788.86;3
505;1757;1706;CA-2015-100916;Standard Class;788.86;3
505;6323;1706;CA-2015-100916;Standard Class;788.86;3
574;4851;1144;CA-2015-100972;Second Class;166.44;1
614;2132;2964;CA-2015-101147;First Class;2.39;1
635;6432;1314;CA-2015-101175;Standard Class;100.70;1
364;5460;3172;CA-2015-101266;Second Class;13.36;1
671;3798;4697;CA-2015-101364;Standard Class;296.71;1
630;5881;339;CA-2015-101392;Standard Class;269.36;1
678;2485;371;CA-2015-101427;Standard Class;8.01;1
136;817;613;CA-2015-101462;Standard Class;59.92;1
400;7250;4134;CA-2015-101476;First Class;69.99;1
603;5072;1022;CA-2015-101560;Second Class;542.34;4
603;2791;1022;CA-2015-101560;Second Class;542.34;4
603;1286;1022;CA-2015-101560;Second Class;542.34;4
603;2896;1022;CA-2015-101560;Second Class;542.34;4
651;7383;2996;CA-2015-101602;First Class;803.96;2
651;679;2996;CA-2015-101602;First Class;803.96;2
104;3069;2493;CA-2015-101770;Standard Class;1.86;1
564;5564;1699;CA-2015-101833;Second Class;34.44;1
514;6465;4645;CA-2015-101931;First Class;1252.60;5
514;6308;4645;CA-2015-101931;First Class;1252.60;5
514;3846;4645;CA-2015-101931;First Class;1252.60;5
514;6514;4645;CA-2015-101931;First Class;1252.60;5
514;21;4645;CA-2015-101931;First Class;1252.60;5
451;5672;3749;CA-2015-102008;Standard Class;48.94;1
462;4597;2115;CA-2015-102085;Standard Class;29.24;1
577;2536;1207;CA-2015-102274;Standard Class;865.50;4
577;7817;1207;CA-2015-102274;Standard Class;865.50;4
577;6083;1207;CA-2015-102274;Standard Class;865.50;4
577;5722;1207;CA-2015-102274;Standard Class;865.50;4
589;365;1562;CA-2015-102295;Second Class;120.71;1
690;7477;216;CA-2015-102330;Standard Class;408.76;2
690;4665;216;CA-2015-102330;Standard Class;408.76;2
21;5180;2039;CA-2015-102645;Standard Class;40.08;1
116;5265;371;CA-2015-102652;Standard Class;199.99;4
116;5535;371;CA-2015-102652;Standard Class;199.99;4
116;1014;371;CA-2015-102652;Standard Class;199.99;4
116;859;371;CA-2015-102652;Standard Class;199.99;4
521;7993;2604;CA-2015-102673;Standard Class;1044.44;4
521;4560;2604;CA-2015-102673;Standard Class;1044.44;4
521;4391;2604;CA-2015-102673;Standard Class;1044.44;4
521;2244;2604;CA-2015-102673;Standard Class;1044.44;4
394;6844;2775;CA-2015-102869;Second Class;233.24;4
394;7741;2775;CA-2015-102869;Second Class;233.24;4
394;1108;2775;CA-2015-102869;Second Class;233.24;4
394;4970;2775;CA-2015-102869;Second Class;233.24;4
113;6538;1871;CA-2015-102988;Second Class;4251.92;5
113;2189;1871;CA-2015-102988;Second Class;4251.92;5
113;5539;1871;CA-2015-102988;Second Class;4251.92;5
113;7583;1871;CA-2015-102988;Second Class;4251.92;5
113;2791;1871;CA-2015-102988;Second Class;4251.92;5
306;6735;108;CA-2015-103058;First Class;99.98;1
493;1414;1521;CA-2015-103086;Second Class;5.31;1
665;3961;36;CA-2015-103100;First Class;1107.66;2
665;4654;36;CA-2015-103100;First Class;1107.66;2
431;6228;4731;CA-2015-103191;Standard Class;331.53;1
541;1367;498;CA-2015-103219;Standard Class;56.52;1
172;427;1865;CA-2015-103310;Standard Class;1769.78;4
172;6582;1865;CA-2015-103310;Standard Class;1769.78;4
172;7619;1865;CA-2015-103310;Standard Class;1769.78;4
172;5713;1865;CA-2015-103310;Standard Class;1769.78;4
271;962;1336;CA-2015-103317;First Class;242.54;3
271;1197;1336;CA-2015-103317;First Class;242.54;3
271;3285;1336;CA-2015-103317;First Class;242.54;3
362;5404;2500;CA-2015-103331;Standard Class;31.40;3
362;980;2500;CA-2015-103331;Standard Class;31.40;3
362;5297;2500;CA-2015-103331;Standard Class;31.40;3
15;7052;1562;CA-2015-103366;First Class;149.95;1
187;7802;644;CA-2015-103373;Standard Class;779.79;1
577;5535;1876;CA-2015-103401;Standard Class;12.96;1
206;7875;2900;CA-2015-103429;First Class;765.49;4
206;3883;2900;CA-2015-103429;First Class;765.49;4
206;1855;2900;CA-2015-103429;First Class;765.49;4
206;5145;2900;CA-2015-103429;First Class;765.49;4
477;8031;957;CA-2015-103492;Standard Class;1488.77;4
477;3846;957;CA-2015-103492;Standard Class;1488.77;4
477;7486;957;CA-2015-103492;Standard Class;1488.77;4
477;4013;957;CA-2015-103492;Standard Class;1488.77;4
394;5123;769;CA-2015-103527;Second Class;10.89;1
609;4233;2332;CA-2015-103590;Standard Class;62.28;1
360;7458;3307;CA-2015-103660;Standard Class;1007.94;1
402;3431;104;CA-2015-103702;Standard Class;63.92;1
51;2908;3066;CA-2015-103744;Standard Class;11.36;2
51;4700;3066;CA-2015-103744;Standard Class;11.36;2
1;4791;1361;CA-2015-103800;Standard Class;16.44;1
